Model,Train R2,Test R2,Train MSE,Test MSE
Linear Regression,0.13734045450122412,0.022456425685711823,1.6747971072969274,1.5721255755807013
Random Forest,0.9732557830553379,0.7798089065282006,0.05192214867331468,0.35412032635468066
Decision Tree,0.9952577642572129,0.8009023146331895,0.009206740649404027,0.32019704433497537
